dedupe_key,doi,scopus_id,title,year,pub,manually_retrieved
doi:10.1002/met.1420,10.1002/met.1420,84925610619,"Coupling climate risks, eco-systems, and anthropogenic decisions using South American and Sub-Saharan farming activities",2014,Meteorological Applications,
doi:10.1175/wcas-d-13-00053.1,10.1175/wcas-d-13-00053.1,84945298585,Indigenous knowledge for environmental prediction in the Pacific Island countries,2014,Weather Climate and Society,
doi:10.1175/wcas-d-14-00010.1,10.1175/wcas-d-14-00010.1,84930940990,"Weather, climate, and resource information should meet the needs of sahelian pastoralists",2014,Weather Climate and Society,
doi:10.4018/978-1-4666-6501-9.ch004,10.4018/978-1-4666-6501-9.ch004,84946135682,Adaptation to impacts of climate change on the food and nutrition security status of a small Island developing state: The case of the republic of Seychelles,2014,Impacts of Climate Change on Food Security in Small Island Developing States,
doi:10.4018/978-1-4666-6501-9.ch005,10.4018/978-1-4666-6501-9.ch005,84946148573,Adaptations to climate change and climate variability in the agriculture sector in mauritius: Lessons from a technical needs assessment,2014,Impacts of Climate Change on Food Security in Small Island Developing States,
doi:10.4018/978-1-4666-6501-9.ch006,10.4018/978-1-4666-6501-9.ch006,84946139367,"Farming adaptations to the impacts of climate change and extreme events in Pacific Island countries: Case study of bellona atoll, Solomon Islands",2014,Impacts of Climate Change on Food Security in Small Island Developing States,
doi:10.1108/meq-05-2013-0048,10.1108/meq-05-2013-0048,84927518781,Effects of livelihood strategies on mangrove-forest resource: Do the consumption behaviour of households jeopardise the forest resource base?,2014,Management of Environmental Quality an International Journal,
ty:vulnerabilityoflivelihoodstoclimatechangeanassessmentofagriculturalcommunitiesinsouthernstelizabethjamaica:2014,,84943621020,"Vulnerability of livelihoods to climate change: An assessment of agricultural communities in southern St Elizabeth, Jamaica",2014,Caribbean Geography,
doi:10.1007/s10584-014-1216-y,10.1007/s10584-014-1216-y,84919877322,Winter crop sensitivity to inter-annual climate variability in central India,2014,Climatic Change,
doi:10.1108/ijccsm-12-2012-0068,10.1108/ijccsm-12-2012-0068,84926340469,Gender perspectives on agricultural adaptation to climate change in drought-prone Nguru Local Government Area in the semiarid zone of northeastern Nigeria,2014,International Journal of Climate Change Strategies and Management,
doi:10.1007/978-94-007-7802-3_13,10.1007/978-94-007-7802-3_13,84931397560,Push-pull: A novel IPM strategy for the green revolution in Africa,2014,Integrated Pest Management,
doi:10.13248/j.cnki.wetlandsci.2014.04.002,10.13248/j.cnki.wetlandsci.2014.04.002,84913539476,Ecological compensation policy of Zoigê Plateau wetlands,2014,Wetland Science,
doi:10.3969/j.issn.1002-6819.2014.14.017,10.3969/j.issn.1002-6819.2014.14.017,84906776957,Land cover mapping using multi-sources data based on Dempster-Shafer theory,2014,Nongye Gongcheng Xuebao Transactions of the Chinese Society of Agricultural Engineering,
ty:6thinternationalconferenceonsustainabletourismst2014:2014,,84930392549,"6th International Conference on Sustainable Tourism, ST 2014",2014,Wit Transactions on Ecology and the Environment,
ty:changesinthearcticbackgroundandissuesforcongress:2014,,84952884575,Changes in the Arctic: Background and issues for Congress,2014,U S National Strategy for the Arctic and Analysis of Changes and Issues for the Region,
doi:10.1007/978-81-322-2006-0_3,10.1007/978-81-322-2006-0_3,84930852013,Exploiting phytochemicals for developing sustainable crop protection strategies to withstand climate change: Example from Africa,2014,Advances in Plant Biopesticides,
ty:investigationoffloodingandcausativefactorsinbaleglichaywatershedbygisrsandahptechniques:2014,,84921757807,"Investigation of flooding and causative factors in Balegli Chay Watershed by GIS, RS, and AHP techniques",2014,Journal of Environmental Studies,
doi:10.1017/s0014479713000616,10.1017/s0014479713000616,84927559690,Helping farmers adapt to climate and cropping system change through increased access to sorghum genetic resources adapted to prevalent sorghum cropping systems in Burkina Faso,2014,Experimental Agriculture,
doi:10.1098/rstb.2013.0089,10.1098/rstb.2013.0089,84907424740,Extreme vulnerability of smallholder farmers to agricultural risks and climate change in Madagascar,2014,Philosophical Transactions of the Royal Society B Biological Sciences,
doi:10.1098/rstb.2012.0284,10.1098/rstb.2012.0284,84894071130,Achieving food security for one million sub-Saharan African poor through push-pull innovation by 2020,2014,Philosophical Transactions of the Royal Society B Biological Sciences,
doi:10.1007/s10113-013-0532-5,10.1007/s10113-013-0532-5,84897863379,Climate change and variability: Perception and adaptation strategies of pastoralists and agro-pastoralists across different zones of Burkina Faso,2014,Regional Environmental Change,
doi:10.1007/s10113-013-0531-6,10.1007/s10113-013-0531-6,84897849645,Assessing suitability of apple cultivation under climate change in mountainous regions of western Nepal,2014,Regional Environmental Change,
ty:rurallivelihoodsandhouseholdadaptationtoextremefloodingintheokavangodeltabotswana:2014,,84956730679,"Rural livelihoods and household adaptation to extreme flooding in the Okavango Delta, Botswana",2014,Flooding Risk Factors Environmental Impacts and Management Strategies,
doi:10.1007/s11069-013-0998-y,10.1007/s11069-013-0998-y,84897636957,Spatial and temporal changes of agro-meteorological disasters affecting maize production in China since 1990,2014,Natural Hazards,
ty:fishfloodsandlivelihoodsinthebotetiriverbotswana:2014,,84956745682,"Fish, floods and livelihoods in the Boteti River, Botswana",2014,Flooding Risk Factors Environmental Impacts and Management Strategies,
ty:2013internationalconferenceonservicesscienceandservicesinformationtechnologysssit2013:2014,,84897765170,"2013 International Conference on Services Science and Services Information Technology, SSSIT 2013",2014,Wit Transactions on Information and Communication Technologies,
doi:10.1007/s11069-013-0931-4,10.1007/s11069-013-0931-4,84893939062,"Farmers' assessments of private adaptive measures to climate change and influential factors: A study in the Mekong Delta, Vietnam",2014,Natural Hazards,
ty:impactonagricultureandfarmersduetoclimateabnormalitiesinprakasamdistrictandhrapradeshindia:2014,,84949561889,"Impact on agriculture and farmers due to climate abnormalities in Prakasam District, Andhra Pradesh, India",2014,Advances in Environmental Research,
ty:selectingindigenouscattlepopulationsforimprovingdairyproductioninthesouthernhighlandsandeasterntanzania:2014,,84894572466,Selecting indigenous cattle populations for improving dairy production in the Southern Highlands and Eastern Tanzania,2014,Livestock Research for Rural Development,
doi:10.1007/s10113-013-0485-8,10.1007/s10113-013-0485-8,84893684210,Climate risks and adaptation strategies in the Lower Mekong River basin,2014,Regional Environmental Change,
doi:10.1007/s11027-012-9436-9,10.1007/s11027-012-9436-9,84892529344,Farm management decision and response to climate variability and change in Côte d'Ivoire,2014,Mitigation and Adaptation Strategies for Global Change,
doi:10.1007/s10668-013-9466-9,10.1007/s10668-013-9466-9,84891626405,Adaptation in a multi-stressor environment: Perceptions and responses to climatic and economic risks by coffee growers in Mesoamerica,2014,Environment Development and Sustainability,
doi:10.1007/s11027-012-9432-0,10.1007/s11027-012-9432-0,84892513081,"Implications of a changing climate on food security and smallholders' livelihoods in Bogotá, Colombia",2014,Mitigation and Adaptation Strategies for Global Change,
doi:10.1177/0269094213515175,10.1177/0269094213515175,84894249449,Economic consequences of failed autonomous adaptation to extreme floods: A case study from Bangladesh,2014,Local Economy,
doi:10.1016/j.cosust.2013.10.004,10.1016/j.cosust.2013.10.004,84887096038,Parklands for buffering climate risk and sustaining agricultural production in the Sahel of West Africa,2014,Current Opinion in Environmental Sustainability,
ty:2013internationalforumonmaterialsanalysisandtestingtechnologyifmatt2013:2014,,84891521783,"2013 International Forum on Materials Analysis and Testing Technology, IFMATT 2013",2014,Advanced Materials Research,
doi:10.1002/jsfa.6452,10.1002/jsfa.6452,84897961843,"Determinants of climate change adaptation strategies used by fish farmers in Epe Local Government Area of Lagos State, Nigeria",2014,Journal of the Science of Food and Agriculture,
ty:determinantsofclimatechangeadaptationstrategiesusedbyricefarmersinsouthwesternnigeria:2014,,84920273673,"Determinants of climate change adaptation strategies used by rice farmers in Southwestern, Nigeria",2014,Journal of Agriculture and Rural Development in the Tropics and Subtropics,
doi:10.1007/s10113-013-0558-8,10.1007/s10113-013-0558-8,84900803935,Adaptation of Iranian farmers to climate variability and change,2014,Regional Environmental Change,
doi:10.1504/ijarge.2014.064008,10.1504/ijarge.2014.064008,84905509824,"Improving fish farmers' climate change adaptation strategies through information utilisation in Akinyele local government area of Oyo State, Nigeria: Implication for sustainable fish production",2014,International Journal of Agricultural Resources Governance and Ecology,
doi:10.1007/s10113-014-0597-9,10.1007/s10113-014-0597-9,84904654871,Livelihood adaptations to climate variability: Insights from farming households in Ghana,2014,Regional Environmental Change,
doi:10.1016/s2095-3119(14)60805-4,10.1016/s2095-3119(14)60805-4,84904150719,"Interpretation of climate change and agricultural adaptations by local household farmers: A case study at bin county, northeast China",2014,Journal of Integrative Agriculture,
doi:10.1504/ijarge.2014.064006,10.1504/ijarge.2014.064006,84905463054,"Economic valuation of maize farming profitability under climate change adaptation in Benin, West Africa",2014,International Journal of Agricultural Resources Governance and Ecology,
doi:10.1080/17565529.2013.867249,10.1080/17565529.2013.867249,84899910522,"Willingness to be informed and to pay for agricultural extension services in times of climate change: the case of maize farming in northern Benin, West Africa",2014,Climate and Development,
ty:indigenousknowledgeaboutclimatechangevalidatingtheperceptionsofdrylandfarmersintamilnadu:2014,,84898488544,Indigenous knowledge about climate change: Validating the perceptions of dryland farmers in Tamil Nadu,2014,Indian Journal of Traditional Knowledge,
doi:10.1080/17565529.2013.844677,10.1080/17565529.2013.844677,84899926106,Enhancing climate change adaptation in Africa assessing the role of local institutions in Southern Benin,2014,Climate and Development,
doi:10.1007/s00267-014-0299-6,10.1007/s00267-014-0299-6,84905564368,"Farmers' perceived risks of climate change and influencing factors: A study in the Mekong Delta, Vietnam",2014,Environmental Management,
doi:10.1007/s11069-013-1011-5,10.1007/s11069-013-1011-5,84899913939,Farmers' adaptive practices for drought risk reduction in the northwest region of Bangladesh,2014,Natural Hazards,
doi:10.1007/978-3-319-04489-7_16,10.1007/978-3-319-04489-7_16,85042096443,Does awareness through learning about climate change enhance farmers’ perception of and adaptation to climate uncertainty?,2014,Climate Change Management,
ty:roleofagriculturalextensionservicesinadaptationtoclimatechangeinhighlandsofkaghanvalleypakistan:2014,,84919959626,"Role of agricultural extension services in adaptation to climate change in highlands of Kaghan valley, Pakistan",2014,Pakistan Journal of Agricultural Sciences,
doi:10.1007/978-3-319-09360-4_25,10.1007/978-3-319-09360-4_25,105011235889,Smallholder Adaptation to Climate Change in Semi-arid Areas of Tanzania: Experiences from Iramba and Meatu Districts,2014,Sustainable Intensification to Advance Food Security and Enhance Climate Resilience in Africa,
doi:10.1007/s12571-014-0350-8,10.1007/s12571-014-0350-8,84901345051,Application of the TOA-MD model to assess adoption potential of improved sweet potato technologies by rural poor farm households under climate change: The case of Kabale district in Uganda,2014,Food Security,
doi:10.1007/s11069-014-1149-9,10.1007/s11069-014-1149-9,84905703323,"Determinants of farmers' choice of coping and adaptation measures to the drought hazard in northwest Balochistan, Pakistan",2014,Natural Hazards,
doi:10.1007/978-94-017-8962-2_10,10.1007/978-94-017-8962-2_10,84956821535,Adaptation strategies of citrus and tomato farmers towards the effect of climate change in Nigeria,2014,Vulnerability of Agriculture Water and Fisheries to Climate Change Toward Sustainable Adaptation Strategies,
doi:10.1007/s40003-014-0103-0,10.1007/s40003-014-0103-0,85009078353,Adapting Agriculture to Climate Change and Variability in Chitwan: Long-Term Trends and Farmers' Perceptions,2014,Agricultural Research,
doi:10.5367/oa.2014.0166,10.5367/oa.2014.0166,84916931438,Organic cotton production as an adaptation option in north-west Benin,2014,Outlook on Agriculture,
ty:famersperceptionondesertificationdynamicsandsustainabilityofadaptivestrategiesinsemiaridregionsobservationsfromkarakdistrictpakistan:2014,,84904415635,"Famer's perception on desertification dynamics and sustainability of adaptive strategies in semiarid regions: Observations from Karak District, Pakistan",2014,Life Science Journal,
doi:10.1007/978-3-319-09360-4_5,10.1007/978-3-319-09360-4_5,105011215856,Climate Risk Management Through Sustainable Land Management in Sub-Saharan Africa,2014,Sustainable Intensification to Advance Food Security and Enhance Climate Resilience in Africa,
doi:10.3923/ajcs.2014.262.272,10.3923/ajcs.2014.262.272,84987749865,Impact of climate change on rice-based cropping systems and farmers' adaptation strategies in Northeast Thailand,2014,Asian Journal of Crop Science,
doi:10.1007/978-3-319-09360-4_9,10.1007/978-3-319-09360-4_9,105011236004,"Factors in Smallholder Farmers’ Vulnerability to Climate Change Impacts in the Uluguru Mountains, Morogoro, Tanzania",2014,Sustainable Intensification to Advance Food Security and Enhance Climate Resilience in Africa,
doi:10.1080/10130950.2014.932126,10.1080/10130950.2014.932126,85067637173,"A gendered analysis of sustainable agricultural practices with changing climate in the Chankumba agricultural community, Zambia",2014,Agenda,
ty:climatechangeandagricultureinindiastudiesfromselectedriverbasins:2014,,84954602908,Climate change and agriculture in India: Studies from selected river Basins,2014,Climate Change and Agriculture in India Studies from Selected River Basins,
ty:riskandvulnerabilityduetoclimatechangeandadaptationinitiativesforagriculturalresilienceinpannadistrictofmadhyapradeshcentralindia:2014,,84987959329,"Risk and vulnerability due to climate change and adaptation initiatives for agricultural resilience in panna district of Madhya Pradesh, central India",2014,Range Management and Agroforestry,
doi:10.1007/978-94-017-8962-2_8,10.1007/978-94-017-8962-2_8,84956734854,Economic impact of climate change on Tunisian agriculture: The case of wheat,2014,Vulnerability of Agriculture Water and Fisheries to Climate Change Toward Sustainable Adaptation Strategies,
doi:10.1007/978-3-319-04489-7_19,10.1007/978-3-319-04489-7_19,85071379836,"Perceptions about climate change in sidama, ethiopia",2014,Climate Change Management,
doi:10.1007/978-3-319-04489-7_12,10.1007/978-3-319-04489-7_12,84942345730,From rainforests to drylands: Comparing family farmers’ perceptions of climate change in three Brazilian biomes,2014,Climate Change Management,
doi:10.1007/s40003-014-0096-8,10.1007/s40003-014-0096-8,84911489677,Agro-Biodiversity Management: Using Indigenous Knowledge to Cope with Climate Change in the Middle-Hills of Nepal,2014,Agricultural Research,
doi:10.1080/00207233.2014.911406,10.1080/00207233.2014.911406,84903588874,Economic evaluation of floating gardening as a means of adapting to climate change in Bangladesh,2014,International Journal of Environmental Studies,
doi:10.14350/rig.42298,10.14350/rig.42298,84917706754,"Adaptation to climate variability among the coffee farmers of the watersheds of the rivers Porce and Chinchiná, Colombia",2014,Investigaciones Geograficas,
doi:10.1016/s2095-3119(13)60697-8,10.1016/s2095-3119(13)60697-8,84897952503,Household and community assets and farmers' adaptation to extreme weather event: The case of drought in china,2014,Journal of Integrative Agriculture,
doi:10.5337/2014.230,10.5337/2014.230,85046141573,"A framework to understand gender and structural vulnerability to climate change in the Ganges River Basin: Lessons from Bangladesh, India and Nepal",2014,Iwmi Working Papers,
doi:10.5901/mjss.2014.v5n23p2545,10.5901/mjss.2014.v5n23p2545,84910047561,"Climate change impacts on rural based women: Emerging evidence on coping and adaptation strategies in Tsholotsho, Zimbabwe",2014,Mediterranean Journal of Social Sciences,
doi:10.1016/j.crm.2014.01.001,10.1016/j.crm.2014.01.001,84901500064,Assessing pricing assumptions for weather index insurance in a changing climate,2014,Climate Risk Management,
ty:assessmentofvulnerabilityofruralhouseholdstoclimatehazardsinmountainousareaofkwandelocalgovernmentareabenuestatenigeria:2014,,84925002827,"Assessment of vulnerability of rural households to climate hazards in mountainous area of Kwande Local Government Area, Benue State, Nigeria",2014,Proceedings of the 5th International Disaster and Risk Conference Integrative Risk Management the Role of Science Technology and Practice Idrc Davos 2014,
doi:10.4337/9781783477173.00011,10.4337/9781783477173.00011,84958259494,Adaptation and mitigation: What is the optimal balance?,2014,Climate Change Mitigation Technological Innovation and Adaptation A New Perspective on Climate Policy,
doi:10.1080/21683565.2014.900842,10.1080/21683565.2014.900842,84902970054,"Farmer Strategies for Dealing with Climatic Variability: A Case Study from the Mixteca Alta Region of Oaxaca, Mexico",2014,Agroecology and Sustainable Food Systems,
doi:10.1080/10130950.2014.939837,10.1080/10130950.2014.939837,85090000480,"Women, climate change and environmentally-induced conflicts in Africa",2014,Agenda,
ty:climatechangeandcropproductioninnigeriaanerrorcorrectionmodellingapproach:2014,,84897106987,Climate change and crop production in Nigeria: An error correction modelling approach,2014,International Journal of Energy Economics and Policy,
doi:10.1007/s12571-014-0348-2,10.1007/s12571-014-0348-2,84901296791,Adaptive livelihood strategies employed by farmers to close the food gap in semi-arid south eastern Zimbabwe,2014,Food Security,
ty:smallscaleproducersriskandclimatechangeinanamazonianmunicipality:2014,,84949429600,"Small-scale producers, risk and climate change in an Amazonian Municipality",2014,Climate Change and Forest Ecosystems,
doi:10.3923/ajava.2014.13.26,10.3923/ajava.2014.13.26,84897076093,Impacts of climate change on livestock husbandry and adaptation options in the arid sahel belt of West Africa: Evidence from a baseline survey,2014,Asian Journal of Animal and Veterinary Advances,
doi:10.1016/j.crm.2014.08.002,10.1016/j.crm.2014.08.002,84918813979,"Ethno-meteorology and scientific weather forecasting: Small farmers and scientists' perspectives on climate variability in the Okavango Delta, Botswana",2014,Climate Risk Management,
doi:10.1007/s10745-014-9668-2,10.1007/s10745-014-9668-2,84905594094,Livestock Diversification: An Adaptive Strategy to Climate and Rangeland Ecosystem Changes in Southern Ethiopia,2014,Human Ecology,
ty:assessmentofvulnerabilityindexonclimatevariabilityineasternthailand:2014,,84923699929,Assessment of vulnerability index on climate variability in Eastern Thailand,2014,Kasetsart Journal Natural Science,
doi:10.1007/978-3-319-04489-7_13,10.1007/978-3-319-04489-7_13,85052250447,"Precipitation variability and adaptation strategies in the southern yucatán peninsula, Mexico: Integrating local knowledge with quantitative analysis",2014,Climate Change Management,
ty:impactsofclimatechangeonsummermaizeproductionandadaptiveselectionofvarietiesinxingtaicountyhebeichina:2014,,84892903349,"Impacts of climate change on summer maize production and adaptive selection of varieties in Xingtai County, Hebei, China",2014,Chinese Journal of Applied Ecology,
doi:10.1016/s2095-3119(13)60700-5,10.1016/s2095-3119(13)60700-5,84897947532,Crop diversification in coping with extreme weather events in China,2014,Journal of Integrative Agriculture,
doi:10.1016/j.crm.2014.05.004,10.1016/j.crm.2014.05.004,84906778111,Sources of vulnerability to a variable and changing climate among smallholder households in Zimbabwe: A participatory analysis,2014,Climate Risk Management,
doi:10.1007/s11625-014-0241-0,10.1007/s11625-014-0241-0,84904204580,"Participatory assessment of the sustainability of livelihoods in the agroecosystem of Abesard, Iran",2014,Sustainability Science,
doi:10.1016/j.crm.2014.02.001,10.1016/j.crm.2014.02.001,84900388032,The role of climate forecasts in smallholder agriculture: Lessons from participatory research in two communities in Senegal,2014,Climate Risk Management,
ty:woolworthsfarmingforthefuture:2014,,84904056785,Woolworths farming for the future,2014,International Food and Agribusiness Management Review,
doi:10.3390/su6074308,10.3390/su6074308,84905393391,The sustainability of community-based adaptation projects in the Blue Nile Highlands of Ethiopia,2014,Sustainability Switzerland,
doi:10.20965/jdr.2014.p0542,10.20965/jdr.2014.p0542,84905161756,Households' coping strategies in drought- and flood-Prone communities in Northern Ghana,2014,Journal of Disaster Research,
doi:10.1016/j.marpol.2013.06.007,10.1016/j.marpol.2013.06.007,84883453857,Limits and barriers to adaptation to climate variability and change in Bangladeshi coastal fishing communities,2014,Marine Policy,
doi:10.1201/b17747,10.1201/b17747,85055235355,Adaptation by smallholders in eastern africa to climate change through conservation agriculture,2014,Soil Management of Smallholder Agriculture,
ty:awarenessofclimatechangeandimplicationsforattainingthemillenniumdevelopmentgoalsmdgsinnigerdeltaregionofnigeria:2014,,84897041542,Awareness of climate change and implications for attaining the millennium development goals (MDGS) in niger delta region of nigeria,2014,Agris on Line Papers in Economics and Informatics,
doi:10.1007/978-3-319-09360-4_29,10.1007/978-3-319-09360-4_29,105011236012,Farming Systems in Tanzania: Empirical Evidence of Changes in Livelihood Patterns and Poverty Among Smallholder Farmers,2014,Sustainable Intensification to Advance Food Security and Enhance Climate Resilience in Africa,
ty:theresponsetoclimatevariabilityamongfarmfamiliesinnorthernghana:2014,,84950970188,The response to climate variability among farm families in Northern Ghana,2014,Agriculture and Trade International Perspectives,
doi:10.1016/j.crm.2014.04.001,10.1016/j.crm.2014.04.001,84906733673,"Managing the agricultural calendar as coping mechanism to climate variability: A case study of maize farming in northern Benin, West Africa",2014,Climate Risk Management,
doi:10.20965/jdr.2014.p0501,10.20965/jdr.2014.p0501,84905169931,"Provisioning Ecosystem services in Rural Savanna landscapes of Northern Ghana: An assessment of supply, utilization, and drivers of change",2014,Journal of Disaster Research,
doi:10.1080/10130950.2014.939839,10.1080/10130950.2014.939839,85084141881,"Women's perceptions of the Girinka (one cow per poor family) programme, poverty alleviation and climate resilience in Rwanda",2014,Agenda,
ty:understandingfarmersadaptationtowaterscarcityacasestudyfromthewesternniledeltaegypt:2014,,84923226434,"Understanding farmers’ adaptation to water scarcity: A case study from the Western Nile Delta, Egypt",2014,Iwmi Research Report,
doi:10.1111/cuag.12027,10.1111/cuag.12027,84902324479,Irrigation Access and Vulnerability to Climate-Induced Hydrological Change in the Ecuadorian Andes,2014,Culture Agriculture Food and Environment,
doi:10.1080/17565529.2014.886989,10.1080/17565529.2014.886989,84905403932,Women's differentiated vulnerability and adaptations to climate-related agricultural water scarcity in rural Central Vietnam,2014,Climate and Development,
ty:copingwithrainfallvariabilityinnortherntanzania:2014,,84950336671,Coping with rainfall variability in northern Tanzania,2014,New Trends in Environmental Science,
ty:movingtowardsriskintersectionsofdisasterandmobility:2014,,84924993670,Moving towards risk? Intersections of disaster and mobility,2014,Proceedings of the 5th International Disaster and Risk Conference Integrative Risk Management the Role of Science Technology and Practice Idrc Davos 2014,
doi:10.1504/ijarge.2014.066258,10.1504/ijarge.2014.066258,84918577608,"Farmers' (local and colonists) perceptions of environmental changes in the forest frontier of the upper Amazon, Peru",2014,International Journal of Agricultural Resources Governance and Ecology,
ty:thelivelihoodofpaddyfarmersinfacingchallengesofclimaticchangetheroleofgovernmentinterventionthroughpaddypricesubsidyscheme:2014,,84984637344,The livelihood of paddy farmers in facing challenges of climatic change: The role of government intervention through paddy price subsidy scheme,2014,Kajian Malaysia,
doi:10.1007/978-3-319-00639-0_8,10.1007/978-3-319-00639-0_8,84939447879,Toward a New Approach for Hydrological Modeling: A Tool for Sustainable Development in a Savanna Agro-System,2014,Technologies for Sustainable Development A Way to Reduce Poverty,
doi:10.1016/j.crm.2014.09.002,10.1016/j.crm.2014.09.002,84924521564,Remote sensing data for managing climate risks: Index-based insurance and growth related applications for smallhold-farmers in Ethiopia,2014,Climate Risk Management,
ty:watersourcesandqualityfordairycattleinsmallholderfarmsinsemiaridkenya:2014,,84905472542,Water sources and quality for dairy cattle in smallholder farms in semi-arid Kenya,2014,Livestock Research for Rural Development,
doi:10.3923/javaa.2014.644.651,10.3923/javaa.2014.644.651,84900547638,Household characteristics and livelihood strategies for beef enterprise development in eastern province of Rwanda,2014,Journal of Animal and Veterinary Advances,
ty:newstudyidentifiesmostpromisingagriculturaltoolsforfeedingtheworldspoorest:2014,,84903635587,New study identifies most promising agricultural tools for feeding the world's poorest,2014,Appropriate Technology,
doi:10.1016/j.jspr.2013.12.004,10.1016/j.jspr.2013.12.004,84898056483,Post-harvest food losses in a maize-based farming system of semi-arid savannah area of Tanzania,2014,Journal of Stored Products Research,
ty:thepotentialforincreasingcattleproductivityinmixedfarmingsystemsofzimbabwe:2014,,84901723441,The potential for increasing cattle productivity in mixed farming systems of Zimbabwe,2014,Livestock Research for Rural Development,
doi:10.4038/jnsfsr.v42i2.6992,10.4038/jnsfsr.v42i2.6992,84903721937,Adaptation to the vulnerability of paddy cultivation to climate change based on seasonal rainfall characteristics,2014,Journal of the National Science Foundation of Sri Lanka,
ty:personalisedadvisorysystemforpestanddiseasemanagementinpotatocropsinnilgirisdistrictofindia:2014,,84941249057,Personalised advisory system for pest and disease management in potato crops in Nilgiris district of India,2014,International Journal of Applied Engineering Research,
ty:perspectiveofzhangzhentochinaincreasingpeasantsincome:2014,,84931281742,Perspective of zhangzhen to china increasing peasants’ income,2014,Energy Education Science and Technology Part A Energy Science and Research,
doi:10.1007/s10745-013-9636-2,10.1007/s10745-013-9636-2,84897573280,The Role of Livestock Mobility in the Livelihood Strategies of Rural Peoples in Semi-Arid West Africa,2014,Human Ecology,
doi:10.1007/s10584-014-1135-y,10.1007/s10584-014-1135-y,84902295631,Migrating to tackle climate variability and change? Insights from coastal fishing communities in Bangladesh,2014,Climatic Change,
doi:10.19030/jabr.v30i6.8882,10.19030/jabr.v30i6.8882,84908424105,A discrete choice analysis of smallholder farmers' preferences and willingness’ to pay for weather derivatives: Evidence from Ethiopia,2014,Journal of Applied Business Research,
ty:cropyieldpredictionusingtimeseriesmodels:2014,,84938911765,Crop yield prediction using time series models,2014,Journal of Economics and Economic Education Research,
ty:cassavarootsupplychaininnakhornratchasimaprovincechallengesandopportunitiesforlocalstarchmills:2014,,84896108346,Cassava root supply chain in Nakhornratchasima Province: Challenges and opportunities for local starch mills,2014,Journal of Food Agriculture and Environment,
ty:statisticalanalysisoffirstandlastfrostoccurrencesandlengthoffrostfreeperiodduringthepastdecadesindifferentregionsofiran:2014,,84915748668,Statistical analysis of first and last frost occurrences and length of frost free period during the past decades in different regions of Iran,2014,6th International Conference on Environmental Informatics Iseis 2007,
ty:remotesensingandgisbasedagriculturaldroughtassessmentineastshewazoneethiopia:2014,,84898444408,"Remote sensing and GIS based agricultural drought assessment in East Shewa zone, Ethiopia",2014,Tropical Ecology,
ty:assessmentofthefeedingpotentialandutilizationoferythrinaburanaandcasimiroaedulisineasternharerghezoneofethiopia:2014,,84899698814,Assessment of the feeding potential and utilization of Erythrina burana and Casimiroa edulis in Eastern Harerghe zone of Ethiopia,2014,Livestock Research for Rural Development,
ty:dynamicfeedbackbetweenlanduseandhydrologyforecosystemservicesassessment:2014,,84911895755,Dynamic feedback between land use and hydrology for ecosystem services assessment,2014,Proceedings 7th International Congress on Environmental Modelling and Software Bold Visions for Environmental Modeling Iemss 2014,
doi:10.1007/s11629-013-2684-7,10.1007/s11629-013-2684-7,84904216992,"Sustainability of transhumance grazing systems under socio-economic threats in Langtang, Nepal",2014,Journal of Mountain Science,
ty:roleofsmallscaledairysectorinfoodsecurityandpovertyalleviation:2014,,84902075948,Role of small-scale dairy sector in food security and poverty alleviation,2014,Journal of Food Agriculture and Environment,
ty:impactofmodernirrigationpracticesonfarmproductivityinaridregionsofpakistan:2014,,84903703954,Impact of modern irrigation practices on farm productivity in arid regions of Pakistan,2014,Journal of Food Agriculture and Environment,
ty:understandingchangeinpatternsofvulnerability:2014,,84893239886,Understanding change in patterns of vulnerability,2014,PIK Report,
ty:potentialofvariablerateapplicationtechnologyinindia:2014,,84923370412,Potential of variable rate application technology in India,2014,AMA Agricultural Mechanization in Asia Africa and Latin America,
ty:climatechangeandsustainabledevelopmentinlatinamericareflectionsfromanundergraduateresearchabroadprograminpanama:2014,,84938153259,Climate change and sustainable development in Latin America: Reflections from an undergraduate research abroad program in Panama,2014,Proceedings of the International Astronautical Congress Iac,
ty:dryspellanalysisinhighrainfallkonkanregionofmaharashtra:2014,,84902124871,Dry spell analysis in high rainfall Konkan region of Maharashtra,2014,Ecology Environment and Conservation,
doi:10.12854/erde-145-18,10.12854/erde-145-18,84918517295,"Effects of changing water availability on land use in irrigated mountain oases of Al Jabal Al Akhdar, northern Oman",2014,Erde,
doi:10.1111/disa.12060,10.1111/disa.12060,84901982913,Livestock mortality in pastoralist herds in Ethiopia and implications for drought response,2014,Disasters,
ty:floodplainsevolutionanalysisandidentificationofthepotentialwetlandsreconstrutionintheromanianbulgariancommonsector:2014,,84946558577,Floodplains evolution analysis and identification of the potential wetlands reconstrution in the Romanian –Bulgarian common sector,2014,International Multidisciplinary Scientific Geoconference Surveying Geology and Mining Ecology Management Sgem,
ty:respondingtoanoilspilldisasterdatamanagementsupportfortherehabilitationofguimarasislandphilippines:2014,,84915822624,"Responding to an oil spill disaster: Data management support for the rehabilitation of Guimaras Island, Philippines",2014,6th International Conference on Environmental Informatics Iseis 2007,
ty:kenyanpastoralistsreceiveinsurancecompensation:2014,,84903598243,Kenyan pastoralists receive insurance compensation,2014,Appropriate Technology,
