doi,title,domain_type,process_outcome_domains_raw
10.18697/ajfand.84.blfb1017,Climate change effects on crop production in Yatta sub-County: Farmer perceptions and adaptation strategies,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1080/21665095.2019.1678186,The impact of adaptation practices on crop productivity in northwest Ethiopia: an endogenous switching estimation,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.4102/jamba.v11i2.697,Small-Scale Farmers Associations' adaptive capacity to climate change in Swaziland sugarcane industry,both,decision_making_planning; institutional_governance; access_information_services; yields_productivity; income_assets
10.15517/am.v30i2.33938,Climate change perceptions and adaptive responses of small-scale farmers in two Guatemalan landscapes,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing
10.15517/am.v30i2.32905,Climate change perceptions and adaptive responses of small-scale coffee farmers in Costa Rica,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.4314/jae.v23i3.9,"Adaptation strategies to climate change among cereal crop farmers in Kita, Kayes Region of Mali",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.15666/aeer/1706_1504115054,Perceptions of climate variability and determinants of farmers’ adaptation strategies in the highlands of Southwest Cameroon,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.3126/banko.v29i2.28098,Climate change perception and adaptation among indigenous farmers: A study on Thamis of Dolkha,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.15666/aeer/1705_1120911232,"Livelihood resilience of vegetable farmers: Efficacy of organic farming in dealing with climate change in Java, Indonesia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction; resilience_adaptive_capacity
10.15517/am.v30i1.32615,Use of Ecosystem-based Adaptation practices by smallholder coffee farmers in Central America,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1515/opag-2019-0074,Agritourism as a sustainable adaptation option for climate change,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; income_assets
10.4102/jamba.v11i1.652,"Small grain production as an adaptive strategy to climate change in Mangwe District, Matabeleland South in Zimbabwe",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; livelihoods; wellbeing; risk_reduction
10.5751/es-10981-240308,The role of capital in drought adaptation among rural communities in Eswatini,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1007/978-3-030-04750-4_9,"Web Map Application to Support Spatial Planning, Decision-Making and Transition Toward Climate-Smart Landscapes in the Taita Hills, Kenya",process_only,decision_making_planning; institutional_governance; access_information_services
10.21162/pakjas/19.8089,"Coping strategies of farmers regarding the impact of climate change in Rice-Wheat zone of the Punjab, Pakistan",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1007/978-3-319-93336-8_42,Climate-Resilient Agricultural Practices in Different Agro-ecological Zones of Bangladesh,process_only,uptake_adoption; decision_making_planning; knowledge_awareness_learning
10.1016/j.gloenvcha.2018.11.013,"Constraints, multiple stressors, and stratified adaptation: Pastoralist livelihood vulnerability in a semi-arid wildlife conservation context in Central Kenya",both,decision_making_planning; access_information_services; risk_reduction
10.3390/cli7010014,Cardamom casualties: Extreme weather events and ethnic minority livelihood vulnerability in the Sino-Vietnamese borderlands,both,decision_making_planning; participation_coproduction; institutional_governance; access_information_services; wellbeing; risk_reduction
10.1016/j.rama.2018.08.005,"Traditional Mobile Pastoralism in a Contemporary Semiarid Rangeland in Namaqualand, South Africa",process_only,decision_making_planning; institutional_governance; access_information_services
10.4102/jamba.v11i1.526,"Sustainability of food production support services offered by Sustainable Agriculture Trust to subsistence farmers in Bikita District, Zimbabwe",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; yields_productivity
10.1016/j.crm.2019.100191,"Index-based livestock insurance to manage climate risks in Borena zone of southern Oromia, Ethiopia",both,decision_making_planning; risk_reduction
10.4102/jamba.v11i1.813,Coping With Drought: Reflection Of Communal Cattle Farmers In Umzingwane District In Zimbabwe,both,decision_making_planning; behavioral_change; institutional_governance; access_information_services; wellbeing; risk_reduction
10.4314/wsa.v45i1.09,Preparedness or repeated short-term relief aid? Building drought resilience through early warning in southern africa,process_only,decision_making_planning; institutional_governance; access_information_services
10.1016/j.wre.2018.03.001,"Do farmers value rice varieties tolerant to droughts and floods? Evidence from a discrete choice experiment in Odisha, India",process_only,decision_making_planning; uptake_adoption
10.18697/ajfand.87.18355,Adoption of climate-smart droughttego® varieties in Kenya,process_only,knowledge_awareness_learning; uptake_adoption; decision_making_planning; behavioral_change
10.4324/9780429283666-6,What integrated watershed management can deliver for the environment and livelihoods: The Ethiopian experience,both,uptake_adoption; yields_productivity; income_assets
10.1051/cagri/2019019,Côte d'Ivoire's cashew nut boom: A social and ecological transition of the cotton and cocoa systems,both,decision_making_planning; uptake_adoption; institutional_governance; access_information_services; livelihoods; wellbeing; risk_reduction
10.5334/ijc.888,Can micro-irrigation technologies resolve india’s groundwater crisis? Reflections from dark-regions in Gujarat,process_only,decision_making_planning; uptake_adoption; behavioral_change; access_information_services
10.1016/j.jdeveco.2018.10.002,Long-lasting income shocks and adaptations: Evidence from coral bleaching in Indonesia,process_only,decision_making_planning; behavioral_change; access_information_services
10.1186/s13717-018-0118-8,"Farmers’ perception of climate change and adaptation strategies in the Dabus watershed, North-West Ethiopia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance
10.1016/j.envsci.2018.09.013,Responses of sub-Saharan smallholders to climate change: Strategies and drivers of adaptation,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance
10.1007/s41748-018-0059-5,What Defines Livelihood Vulnerability in Rural Semi-Arid Areas? Evidence from Pakistan,process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance
10.1186/s13717-018-0124-x,"Does adaptation to climate change and variability provide household food security? Evidence from Muger sub-basin of the upper Blue-Nile, Ethiopia",both,uptake_adoption; yields_productivity; wellbeing
10.1016/j.landusepol.2018.08.018,"Farmers’ risk perception, vulnerability, and adaptation to climate change in rural Pakistan",both,decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.envdev.2018.09.002,"Climate change adaptation through agroforestry: The case of Kassena Nankana West District, Ghana",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction; resilience_adaptive_capacity
10.1007/s10457-017-0111-8,"Local tree knowledge can fast-track agroforestry recommendations for coffee smallholders along a climate gradient in Mount Elgon, Uganda",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.ecolecon.2018.06.023,Can Land Fragmentation Reduce the Exposure of Rural Households to Weather Variability?,outcome_only,risk_reduction; yields_productivity
10.1016/j.landusepol.2018.08.015,Livelihood exposure to climatic stresses in the north-eastern floodplains of Bangladesh,process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change; institutional_governance
10.1186/s40677-018-0096-2,"Climate change adaptive capacity and smallholder farming in Trans-Mara East sub-County, Kenya",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1016/j.cliser.2018.07.003,Assessment of the use of Participatory Integrated Climate Services for Agriculture (PICSA) approach by farmers to manage climate risk in Mali and Senegal,process_only,decision_making_planning; access_information_services
10.1186/s40066-018-0230-0,Effect of climate-smart agricultural practices on household food security in smallholder production systems: Micro-level evidence from Kenya,both,uptake_adoption; yields_productivity; wellbeing
10.1111/dech.12448,"Gender and Adaptation to Climate Change: Perspectives from a Pastoral Community in Gujarat, India",both,decision_making_planning; behavioral_change; participation_coproduction; access_information_services; wellbeing; risk_reduction
10.1016/j.heliyon.2018.e00889,"Determinants of access and utilisation of seasonal climate information services among smallholder farmers in Makueni County, Kenya",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.13057/biodiv/d190642,"Smallholder farmers livestock production on the face of climate change in Bahir Dar, Zuria district, northwestern Ethiopia",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.1016/j.agsy.2018.09.012,The economic potential of residue management and fertilizer use to address climate change impacts on mixed smallholder farmers in Burkina Faso,both,decision_making_planning; yields_productivity; risk_reduction
10.1016/j.ecolind.2018.05.017,"Farmers’ livelihood adaptation to environmental change in an arid region: A case study of the Minqin Oasis, northwestern China",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance; access_information_services; yields_productivity; income_assets; risk_reduction
10.1016/j.scitotenv.2018.04.429,"A framework to investigate drivers of adaptation decisions in marine fishing: Evidence from urban, semi-urban and rural communities",process_only,decision_making_planning; behavioral_change; institutional_governance
10.1016/j.heliyon.2018.e00797,Impact of climate-change risk-coping strategies on livestock productivity and household welfare: empirical evidence from Pakistan,both,decision_making_planning; uptake_adoption; wellbeing; income_assets
10.1016/j.jrurstud.2018.08.010,Understanding climate resilience in Ghanaian cocoa communities – Advancing a biocultural perspective,neither,not_found
10.1016/j.ijdrr.2018.06.011,Resilience to flash floods in wetland communities of northeastern Bangladesh,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; livelihoods
10.1016/j.scitotenv.2018.04.416,"Hydro-climatic stress, shallow groundwater wells and coping in Ghana's White Volta basin",both,decision_making_planning; uptake_adoption; access_information_services; yields_productivity
10.22438/jeb/39/5/mrn-639,"Farm level adaptation practices of potato growing farmers in East Khasi Hills district of Meghalaya, India",process_only,knowledge_awareness_learning; uptake_adoption; behavioral_change
10.1016/j.envdev.2018.07.005,"Perception and adaptation strategies of rural people against the adverse effects of climate variability: A case study of Boset District, East Shewa, Ethiopia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets
10.1016/j.ecolecon.2018.05.006,Evaluation of Climate Change Adaptation Alternatives for Smallholder Farmers in the Upper Blue-Nile Basin,process_only,decision_making_planning; institutional_governance; access_information_services
10.1016/j.envdev.2018.08.001,Perceptions of climate change variability and adaptation strategies on smallholder dairy farming systems: Insights from Siaya Sub-County of Western Kenya,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1016/j.envdev.2018.06.002,Assessing climate-resilient agriculture for smallholders,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1080/17565529.2017.1318745,Climate change adaptation in the Morogoro Region of Tanzania: women’s decision-making participation in small-scale farm households,process_only,decision_making_planning; behavioral_change
10.1186/s40066-018-0209-x,Climate change impacts and adaptation among smallholder farmers in Central America,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction; resilience_adaptive_capacity
10.1016/j.worlddev.2017.08.005,Multi-Scalar Pathways to Smallholder Adaptation,process_only,decision_making_planning; institutional_governance; access_information_services
10.1016/j.worlddev.2018.02.009,Assessing multi-level drivers of adaptation to climate variability and water insecurity in smallholder irrigation systems,process_only,decision_making_planning; uptake_adoption
10.1016/j.worlddev.2017.04.023,"Toward a Political Ecology of Migration: Land, Labor Migration, and Climate Change in Northwestern Nicaragua",process_only,decision_making_planning; behavioral_change; institutional_governance
10.1007/s12571-018-0827-y,"Evolving high altitude livelihoods and climate change: a study from Rasuwa District, Nepal",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets
10.1007/s11629-017-4750-z,"Farmers’ perceptions of and adaptations to drought in Herat Province, Afghanistan",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1016/j.aquaculture.2017.05.024,Impacts of and resilience to climate change at the bottom of the shrimp commodity chain in Bangladesh: A preliminary investigation,both,decision_making_planning; risk_reduction; resilience_adaptive_capacity
10.1016/j.ecolecon.2018.04.006,How Do Capital Asset Interactions Affect Livelihood Sensitivity to Climatic Stresses? Insights From the Northeastern Floodplains of Bangladesh,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance
10.1186/s40066-018-0200-6,Small farmers' preferences for weather index insurance: Insights from Kenya,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.3389/fsufs.2018.00043,Unearthing Unevenness of Potato Seed Networks in the High Andes: A Comparison of Distinct Cultivar Groups and Farmer Types Following Seasons With and Without Acute Stress,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1016/j.agwat.2018.04.039,"Stakeholders’ assessment of dike-protected and flood-based alternatives from a sustainable livelihood perspective in An Giang Province, Mekong Delta, Vietnam",both,participation_coproduction; livelihoods
10.1016/j.landusepol.2018.04.048,Can lead farmers reveal the adoption potential of conservation agriculture? The case of Malawi,process_only,uptake_adoption; knowledge_awareness_learning
10.1016/j.agee.2017.10.027,Exploitation of differential temperature-sensitivities of crops for improved resilience of tropical smallholder cropping systems to climate change: A case study with temperature responses of tomato and chilli,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.3390/su10072120,Is land fragmentation facilitating or obstructing adoption of climate adaptation measures in Ethiopia?,process_only,decision_making_planning; uptake_adoption
10.1108/ijccsm-04-2016-0039,Effect of climate variability on crop income and indigenous adaptation strategies of households,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.scitotenv.2018.01.112,"Diagnosing climate change impacts and identifying adaptation strategies by involving key stakeholder organisations and farmers in Sikkim, India: Challenges and opportunities",process_only,knowledge_awareness_learning; decision_making_planning; institutional_governance
10.1017/s1742170518000017,Knowledge politics in participatory climate change adaptation research on agroecology in Malawi,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.1017/s1742170517000709,Cultivating climate resilience: A participatory assessment of organic and conventional rice systems in the Philippines,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets
10.1016/j.agsy.2017.02.006,Impacts of climate variability and food price volatility on household income and food security of farm households in East and West Africa,both,decision_making_planning; risk_reduction
10.1016/j.ijdrr.2017.12.016,"Adaptation strategies to floods: A gender-based analysis of the farming-dependent char community in the Padma floodplain, Bangladesh",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.1016/j.ijdrr.2018.01.032,The risk of second-best adaptive measures: Farmers facing drought in Thailand,both,decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.agsy.2017.01.002,Potential of conservation agriculture (CA) for climate change adaptation and food security under rainfed uplands of India: A transdisciplinary approach,both,decision_making_planning; uptake_adoption; yields_productivity; income_assets; risk_reduction
10.1016/j.landusepol.2018.04.016,Empirical analysis of factors influencing farmers crop insurance decisions in Pakistan: Evidence from Khyber Pakhtunkhwa province,process_only,decision_making_planning; access_information_services
10.1080/14735903.2018.1472858,Influence of livelihoods on climate change adaptation for smallholder farmers in the Mekong Delta Vietnam,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods
10.1371/journal.pone.0196392,Diversification and intensification of agricultural adaptation from global to local scales,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance
10.4102/jamba.v10i1.388,Adaptation measures to sustain indigenous practices and the use of indigenous knowledge systems to adapt to climate change in Mutoko rural district of Zimbabwe,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.1016/j.ejor.2017.08.029,A stochastic dynamic programming approach to analyze adaptation to climate change – Application to groundwater irrigation in India,process_only,decision_making_planning; institutional_governance
10.1016/j.envdev.2017.11.004,"Is participatory watershed development building local adaptive capacity? Findings from a case study in Rajasthan, India",process_only,decision_making_planning; institutional_governance; access_information_services
10.13057/biodiv/d190208,Coffee bean physical quality: The effect of climate change adaptation behavior of shifting up cultivation area to a higher elevation,both,decision_making_planning; yields_productivity
10.1016/j.envdev.2017.11.001,Factors affecting smallholder farmers’ adaptation to climate change through non-technological adjustments,process_only,decision_making_planning; behavioral_change
10.1016/j.agsy.2017.12.006,Bio-economic evaluation of cropping systems for saline coastal Bangladesh: III Benefits of adaptation in current and future environments,both,decision_making_planning; yields_productivity; income_assets
10.1051/cagri/2018009,Conservation Agriculture to buffer and alleviate the impact of climatic variations in Madagascar: Farmers' perception,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; risk_reduction
10.1016/j.worlddev.2017.07.026,Women and Climate Stress: Role Reversal from Beneficiaries to Expert Participants,process_only,knowledge_awareness_learning; participation_coproduction; institutional_governance
10.1080/17565529.2016.1223595,Can community-based adaptation increase resilience?,process_only,decision_making_planning; institutional_governance; participation_coproduction
10.1016/j.ecolecon.2017.08.006,"Farmers' Adaptation to Climate Change, Its Determinants and Impacts on Rice Yield in Nepal",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.1017/s0014479716000673,Examining the drivers of agricultural experimentation among smallholder farmers in Malawi,process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.jaridenv.2017.10.010,Women's food security and conservation farming in Zaka District-Zimbabwe,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets
10.1080/17565529.2016.1174665,Enhancing adaptation to climate variability in the East African highlands: a case for fostering collective action among smallholder farmers in Kenya and Uganda,process_only,decision_making_planning; institutional_governance; participation_coproduction
10.1080/17565529.2016.1182889,Adoption of appropriate technologies among smallholder farmers in Kenya,process_only,knowledge_awareness_learning; uptake_adoption
10.18461/ijfsd.v9i5.956,Farmers perception on climate change and determinants of adaptation strategies in Benishangul-Gumuz Regional State of Ethiopia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.1016/j.landusepol.2017.10.023,Determinants of farmers’ adaptation to climate change in agricultural production in the central region of Vietnam,process_only,decision_making_planning; knowledge_awareness_learning
10.1007/978-3-319-61194-5_7,Farmers’ perceptions of and adaptations to climate change in southeast Asia: The case study from Thailand and Vietnam,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.4314/jae.v22i1.10,"Differences in climate change effects and adaptation strategies between male and female livestock entrepreneurs in nsukka agricultural zone of Enugu State, Nigeria",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services
10.1016/b978-0-12-812624-0.00004-1,"Adaptation to and Coping Strategies for Climate Change and Variability by Rural Farmers in Kigezi Highlands, Uganda",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1016/j.crm.2018.03.004,Climate change-related risks and adaptation strategies as perceived in dairy cattle farming systems in Tunisia,both,decision_making_planning; risk_reduction
10.18488/journal.1005/2018.8.1/1005.1.16.27,"Use of soil conservation practices for climate change adaptation among arable crop farmers in cross river state, nigeria",process_only,knowledge_awareness_learning; uptake_adoption; behavioral_change
10.1080/23311932.2018.1504507,"Using a factor analysis to understand climate adaptation barriers impeding smallholder tomato farmers in the Offinso North District, Ghana",neither,not_found
,Climate change effects on crop productivity and welfare sensitivity analysis for smallholder farmers in Malawi,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets; risk_reduction
10.1007/978-3-319-70703-7_11,Black Pearl Farming as an Adaptation to Coastal Climate Change,outcome_only,income_assets; livelihoods; wellbeing
10.19173/irrodl.v19i3.3229,Exploring information seeking behavior of farmers' in information related to climate change adaptation through ICT (CHAI),process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services
10.5751/es-09844-230114,The climate-smart village approach: Framework of an integrative strategy for scaling up adaptation options in agriculture,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance; access_information_services; risk_reduction; resilience_adaptive_capacity
10.1016/j.crm.2018.03.003,Understanding climate change impacts on water buffalo production through farmers’ perceptions,neither,not_found
10.1016/j.crm.2018.02.004,"Understanding resilience of pastoralists to climate change and variability in the Southern Afar Region, Ethiopia",neither,not_found
10.1007/978-3-319-61194-5_22,Diversification as part of a CSA strategy: The cases of Zambia and Malawi,both,decision_making_planning; institutional_governance; yields_productivity; income_assets; wellbeing
10.1007/978-3-319-61194-5_23,Economic analysis of improved smallholder paddy and maize production in northern viet nam and implications for climate-smart agriculture,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity; income_assets
10.1016/j.envdev.2017.06.006,Determinants of smallholder farmers’ choice of coping and adaptation strategies to climate change and variability in the central highlands of Ethiopia,process_only,decision_making_planning; knowledge_awareness_learning
10.1111/apv.12165,Farmers' perceptions of and responses to environmental change in southwest coastal Bangladesh,process_only,knowledge_awareness_learning; decision_making_planning; behavioral_change
10.1186/s40066-017-0144-2,Determinants of smallholder farmers' decision to adopt adaptation options to climate change and variability in the Muger Sub basin of the Upper Blue Nile basin of Ethiopia,process_only,decision_making_planning; uptake_adoption
10.1186/s13570-017-0084-2,The effects of adaptation to climate change on income of households in rural Ethiopia,both,decision_making_planning; uptake_adoption; income_assets
10.1016/j.jaridenv.2017.08.005,Can warmer be better? Changing production systems in three Andean ecosystems in the face of environmental change,both,decision_making_planning; uptake_adoption; risk_reduction
10.1186/s13717-017-0093-5,Camel management as an adaptive strategy to climate change by pastoralists in southern Ethiopia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; risk_reduction
10.1186/s13717-017-0094-4,"Community-based knowledge towards rangeland condition, climate change, and adaptation strategies: the case of Afar pastoralists",process_only,decision_making_planning; behavioral_change; institutional_governance; access_information_services
10.1016/j.agwat.2017.09.005,"Socio-economic factors influencing utilisation of rain water harvesting and saving technologies in Tharaka South, Eastern Kenya",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1016/j.apgeog.2017.10.004,Drivers of farmer satisfaction with small-scale irrigation systems,process_only,decision_making_planning; institutional_governance; access_information_services
10.1186/s40677-017-0074-0,Livelihood resilience in the face of recurring floods: an empirical evidence from Northwest Ethiopia,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing; risk_reduction
10.1186/s40066-017-0148-y,"Household- and plot-level impacts of sustainable land management practices in the face of climate variability and change: Empirical evidence from Dabus Sub-basin, Blue Nile River, Ethiopia",both,uptake_adoption; yields_productivity
10.1016/j.actatropica.2016.11.029,"Memories of environmental change and local adaptations among molapo farming communities in the Okavango Delta, Botswana—A gender perspective",both,decision_making_planning; participation_coproduction; institutional_governance; wellbeing
10.1016/j.jrurstud.2017.09.003,Farmer knowledge and perception of production constraints in Northwest Cambodia,process_only,knowledge_awareness_learning; decision_making_planning
10.1016/j.jrurstud.2017.09.010,"Old wine, new bottles? Investigating the differential adoption of ‘climate-smart’ agricultural practices in western Kenya",process_only,uptake_adoption; decision_making_planning
10.1017/s1355770x17000195,Adaptation to climate change: Historical evidence from the Indian monsoon,process_only,decision_making_planning; uptake_adoption
10.1016/j.euroecorev.2017.06.006,The climate challenge for agriculture and the value of climate services: Application to coffee-farming in Peru,process_only,decision_making_planning; access_information_services
10.1016/j.agwat.2017.05.009,"Irrigation water management: Farmers’ practices, perceptions and adaptations at Gumselassa irrigation scheme, North Ethiopia",both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; institutional_governance; access_information_services; yields_productivity; risk_reduction
10.1016/j.apgeog.2017.06.018,Perceptions of climate variability and livelihood adaptations relating to gender and wealth among the Adi community of the Eastern Indian Himalayas,both,decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; access_information_services; risk_reduction
10.1007/s13280-017-0904-z,Examining adaptations to water stress among farming households in Sri Lanka’s dry zone,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; yields_productivity
10.1016/j.ijdrr.2017.05.006,"Coping with climate change and its impact on productivity, income, and poverty: Evidence from the Himalayan region of Pakistan",both,decision_making_planning; uptake_adoption; yields_productivity; income_assets; wellbeing; risk_reduction
10.1186/s40066-017-0120-x,"Effect of drought early warning system on household food security in Karamoja subregion, Uganda",both,decision_making_planning; uptake_adoption; wellbeing; risk_reduction
10.1016/j.jenvman.2017.04.073,Factors influencing smallholder farmers' behavioural intention towards adaptation to climate change in transitional climatic zones: A case study of Hwedza District in Zimbabwe,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.agee.2017.04.018,The use of Ecosystem-based Adaptation practices by smallholder farmers in Central America,neither,not_found
10.1016/j.ecolecon.2017.03.019,Gender Differences in Climate Change Adaptation Strategies and Participation in Group-based Approaches: An Intra-household Analysis From Rural Kenya,both,decision_making_planning; participation_coproduction; access_information_services; wellbeing
10.1016/j.worlddev.2017.03.011,Insurance Function of Livestock: Farmer's Coping Capacity with Regional Droughts in South-Western Madagascar,both,decision_making_planning; access_information_services; risk_reduction
10.1016/j.jrurstud.2017.05.010,"Ties that bind: Local networks, communities and adaptive capacity in rural Ghana",process_only,decision_making_planning; institutional_governance; access_information_services
10.1007/s00267-017-0852-1,Simulation of Optimal Decision-Making Under the Impacts of Climate Change,process_only,decision_making_planning; knowledge_awareness_learning
10.1016/j.landusepol.2017.05.010,Farmers’ perspectives on climate change manifestations in smallholder cocoa farms and shifts in cropping systems in the forest-savannah transitional zone of Ghana,process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.agsy.2017.03.017,Adoption of agroforestry and the impact on household food security among farmers in Malawi,both,uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing
10.1016/b978-0-12-812624-0.00003-x,A Cross-Region Study: Climate Change Adaptation in Malawi's Agro-based Systems. Climate Change Adaptation in Malawi's Agro-based Systems.,process_only,knowledge_awareness_learning; decision_making_planning
10.1016/b978-0-12-812624-0.00005-3,"Conservation Agriculture Among Farmers in Kalomo, Zambia: Potential for Productivity Under Climate Change",process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance
10.1016/b978-0-12-812624-0.00013-2,Conclusion: Localize Responses to Climate Change Impacts,process_only,knowledge_awareness_learning; decision_making_planning; uptake_adoption
10.1016/j.wace.2017.03.001,Analysis of farmers’ adaptation to weather extremes in West African Sudan Savanna,neither,not_found
10.1016/j.wrr.2017.04.002,Transformation of household livelihoods in adapting to the impacts of flood control schemes in the Vietnamese Mekong Delta,process_only,decision_making_planning; uptake_adoption; behavioral_change
10.1016/j.ijsbe.2017.03.007,"Integrating local knowledge for climate change adaptation in Yucatán, Mexico",process_only,knowledge_awareness_learning; decision_making_planning
10.1016/j.ecolmodel.2017.03.009,Modeling Boran cattle populations under climate change and varying carrying capacity,process_only,decision_making_planning; institutional_governance; access_information_services
10.1186/s40066-017-0091-y,Participatory diagnosis and development of climate change adaptive capacity in the groundnut basin of Senegal: Building a climate-smart village model,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; participation_coproduction; institutional_governance; access_information_services; livelihoods; wellbeing; risk_reduction; resilience_adaptive_capacity
10.1016/j.landusepol.2017.02.026,"Farm-level adaptation to climate change in Western Bangladesh: An analysis of adaptation dynamics, profitability and risks",both,decision_making_planning; uptake_adoption; risk_reduction
10.1016/j.euroecorev.2017.02.002,The climate challenge for agriculture and the value of climate services: Application to coffee-farming in Peru,process_only,decision_making_planning; access_information_services
